,Bitcoin,SnP 500
2021-08-20,49339.17578125,4441.669921875
2021-08-21,48905.4921875,
2021-08-22,49321.65234375,
2021-08-23,49546.1484375,4479.52978515625
2021-08-24,47706.1171875,4486.22998046875
2021-08-25,48960.7890625,4496.18994140625
2021-08-26,46942.21875,4470.0
2021-08-27,49058.66796875,4509.3701171875
2021-08-28,48902.40234375,
2021-08-29,48829.83203125,
2021-08-30,47054.984375,4528.7900390625
2021-08-31,47166.6875,4522.68017578125
2021-09-01,48847.02734375,4524.08984375
2021-09-02,49327.72265625,4536.9501953125
2021-09-03,50025.375,4535.43017578125
2021-09-04,49944.625,
2021-09-05,51753.41015625,
2021-09-06,52633.53515625,
2021-09-07,46811.12890625,4520.02978515625
2021-09-08,46091.390625,4514.06982421875
2021-09-09,46391.421875,4493.27978515625
2021-09-10,44883.91015625,4458.580078125
2021-09-11,45201.45703125,
2021-09-12,46063.26953125,
2021-09-13,44963.07421875,4468.72998046875
2021-09-14,47092.4921875,4443.0498046875
2021-09-15,48176.34765625,4480.7001953125
2021-09-16,47783.359375,4473.75
2021-09-17,47267.51953125,4432.990234375
2021-09-18,48278.36328125,
2021-09-19,47260.21875,
2021-09-20,42843.80078125,4357.72998046875
2021-09-21,40693.67578125,4354.18994140625
2021-09-22,43574.5078125,4395.64013671875
2021-09-23,44895.09765625,4448.97998046875
2021-09-24,42839.75,4455.47998046875
2021-09-25,42716.59375,
2021-09-26,43208.5390625,
2021-09-27,42235.73046875,4443.10986328125
2021-09-28,41034.54296875,4352.6298828125
2021-09-29,41564.36328125,4359.4599609375
2021-09-30,43790.89453125,4307.5400390625
2021-10-01,48116.94140625,4357.0400390625
2021-10-02,47711.48828125,
2021-10-03,48199.953125,
2021-10-04,49112.90234375,4300.4599609375
2021-10-05,51514.8125,4345.72021484375
2021-10-06,55361.44921875,4363.5498046875
2021-10-07,53805.984375,4399.759765625
2021-10-08,53967.84765625,4391.33984375
2021-10-09,54968.22265625,
2021-10-10,54771.578125,
2021-10-11,57484.7890625,4361.18994140625
2021-10-12,56041.05859375,4350.64990234375
2021-10-13,57401.09765625,4363.7998046875
2021-10-14,57321.5234375,4438.259765625
2021-10-15,61593.94921875,4471.3701171875
2021-10-16,60892.1796875,
2021-10-17,61553.6171875,
2021-10-18,62026.078125,4486.4599609375
2021-10-19,64261.9921875,4519.6298828125
2021-10-20,65992.8359375,4536.18994140625
2021-10-21,62210.171875,4549.77978515625
2021-10-22,60692.265625,4544.89990234375
2021-10-23,61393.6171875,
2021-10-24,60930.8359375,
2021-10-25,63039.82421875,4566.47998046875
2021-10-26,60363.79296875,4574.7900390625
2021-10-27,58482.38671875,4551.68017578125
2021-10-28,60622.13671875,4596.419921875
2021-10-29,62227.96484375,4605.3798828125
2021-10-30,61888.83203125,
2021-10-31,61318.95703125,
2021-11-01,61004.40625,4613.669921875
2021-11-02,63226.40234375,4630.64990234375
2021-11-03,62970.046875,4660.56982421875
2021-11-04,61452.23046875,4680.06005859375
2021-11-05,61125.67578125,4697.52978515625
2021-11-06,61527.48046875,
2021-11-07,63326.98828125,
2021-11-08,67566.828125,4701.7001953125
2021-11-09,66971.828125,4685.25
2021-11-10,64995.23046875,4646.7099609375
2021-11-11,64949.9609375,4649.27001953125
2021-11-12,64155.94140625,4682.85009765625
2021-11-13,64469.52734375,
2021-11-14,65466.83984375,
2021-11-15,63557.87109375,4682.7998046875
2021-11-16,60161.24609375,4700.89990234375
2021-11-17,60368.01171875,4688.669921875
2021-11-18,56942.13671875,4704.5400390625
2021-11-19,58119.578125,4697.9599609375
2021-11-20,59697.1953125,
2021-11-21,58730.4765625,
2021-11-22,56289.2890625,4682.93994140625
2021-11-23,57569.07421875,4690.7001953125
2021-11-24,56280.42578125,4701.4599609375
2021-11-25,57274.6796875,
2021-11-26,53569.765625,4594.6201171875
2021-11-27,54815.078125,
2021-11-28,57248.45703125,
2021-11-29,57806.56640625,4655.27001953125
2021-11-30,57005.42578125,4567.0
2021-12-01,57229.828125,4513.0400390625
2021-12-02,56477.81640625,4577.10009765625
2021-12-03,53598.24609375,4538.43017578125
2021-12-04,49200.703125,
2021-12-05,49368.84765625,
2021-12-06,50582.625,4591.669921875
2021-12-07,50700.0859375,4686.75
2021-12-08,50504.796875,4701.2099609375
2021-12-09,47672.12109375,4667.4501953125
2021-12-10,47243.3046875,4712.02001953125
2021-12-11,49362.5078125,
2021-12-12,50098.3359375,
2021-12-13,46737.48046875,4668.97021484375
2021-12-14,46612.6328125,4634.08984375
2021-12-15,48896.72265625,4709.85009765625
2021-12-16,47665.42578125,4668.669921875
2021-12-17,46202.14453125,4620.64013671875
2021-12-18,46848.77734375,
2021-12-19,46707.015625,
2021-12-20,46880.27734375,4568.02001953125
2021-12-21,48936.61328125,4649.22998046875
2021-12-22,48628.51171875,4696.56005859375
2021-12-23,50784.5390625,4725.7900390625
2021-12-24,50822.1953125,
2021-12-25,50429.859375,
2021-12-26,50809.515625,
2021-12-27,50640.41796875,4791.18994140625
2021-12-28,47588.85546875,4786.35009765625
2021-12-29,46444.7109375,4793.06005859375
2021-12-30,47178.125,4778.72998046875
2021-12-31,46306.4453125,4766.18017578125
2022-01-01,47686.8125,
2022-01-02,47345.21875,
2022-01-03,46458.1171875,4796.56005859375
2022-01-04,45897.57421875,4793.5400390625
2022-01-05,43569.00390625,4700.580078125
2022-01-06,43160.9296875,4696.0498046875
2022-01-07,41557.90234375,4677.02978515625
2022-01-08,41733.94140625,
2022-01-09,41911.6015625,
2022-01-10,41821.26171875,4670.2900390625
2022-01-11,42735.85546875,4713.06982421875
2022-01-12,43949.1015625,4726.35009765625
2022-01-13,42591.5703125,4659.02978515625
2022-01-14,43099.69921875,4662.85009765625
2022-01-15,43177.3984375,
2022-01-16,43113.87890625,
2022-01-17,42250.55078125,
2022-01-18,42375.6328125,4577.10986328125
2022-01-19,41744.328125,4532.759765625
2022-01-20,40680.41796875,4482.72998046875
2022-01-21,36457.31640625,4397.93994140625
2022-01-22,35030.25,
2022-01-23,36276.8046875,
